experiment_id,experiment_family,domain,source_decision_id,source_artifacts,weakness_target,candidate_surface,implementation_kind,input_columns_or_artifacts,strata,causal_status,leakage_risk,power_warning,baseline_comparator,success_metric,acceptance_gate,stop_condition,production_status,next_action
BEXP-L2-MONTH-REGIME-001,baseline,BASELINE,ADR-012-BASELINE-L2,reports/onda2e/domain_timing_norms_by_month_regime.csv; reports/regime-design/regime_candidate_assignments_v1.csv,high_mae,baseline_ladder,new_baseline,month; candidate_regime_label; tmax_int,month x candidate regime,outcome_only,Fit month/regime climatology on train folds only; never use validation Tmax norms.,Require minimum train rows per month x regime cell before leaderboard use.,L2,mae_delta,Candidate MAE beats L2 with non-negative lower confidence bound across walk-forward years.,Underpowered cells dominate or candidate degrades MAE versus L2.,EXPERIMENT_ONLY,Implement train-only month/regime climatology baseline and compare on leaderboard.
BEXP-L4-MONTH-CP-REGIME-001,baseline,BASELINE,ADR-012-BASELINE-L4,reports/onda2e/regime_design_candidate_v1.csv; reports/regime-design/regime_candidate_assignments_v1.csv,high_mae,baseline_ladder,baseline_variant,month; CP; candidate_regime_label; remaining_warming,month x CP x candidate regime,outcome_only,Use train-fold conditional means only; candidate regime labels must be pre-CP.,Sparse month x CP x regime cells require fallback to month x CP.,L4,mae_delta,Candidate reduces MAE versus L4 and fallback rate is reported.,Fallback rate is high or candidate loses to L4 in repeated years.,EXPERIMENT_ONLY,Add empirical conditional baseline variant for month/CP/candidate-regime strata.
BEXP-COOLING-MECHANISM-001,baseline,COOLING,RULE_COOLING_FIXED_MINUS_2_C_PER_H,reports/onda2e/cooling_effects_by_month_regime_cp.csv; reports/onda2e/cooling_event_taxonomy_by_day_cp.csv,fixed_threshold,baseline_ladder,baseline_variant,cooling_mechanism; month; CP; remaining_warming,month x CP x cooling mechanism,causal_available,Mechanism assignment must use pre-CP observations only.,Cooling taxonomy has sparse mechanism cells; require fallback reporting.,L0;L4;RULE_COOLING_FIXED_MINUS_2_C_PER_H,mae_delta,Mechanism-aware baseline improves MAE or documents a repeatable cooling weakness.,Mechanism split is underpowered or fails against L0/L4.,EXPERIMENT_ONLY,Implement cooling-mechanism baseline adjustment as an experiment-only comparator.
BEXP-QUAR-COOLING-FIXED-001,baseline,COOLING,RULE_COOLING_FIXED_MINUS_2_C_PER_H,solarstorm/onda2e/_atlas.py; solarstorm/robustness/_regime_diagnostics.py; reports/regime/2026-06-06-cooling-rule-experiment.md,fixed_threshold,baseline_ladder,threshold_calibration,cooling taxonomy and southerly_disrupted trigger,month; CP; candidate regime; physical mechanism as supported by EDA,audit_only,Quarantined comparator; use only as baseline/audit surface until ADR-012 advances it.,"Cooling has not yet been calibrated by month, mechanism, wind context, rain, pressure, or sample power.",RULE_COOLING_FIXED_MINUS_2_C_PER_H,mae_delta,Experiment must beat or clarify the quarantined comparator without leakage.,"Comparator remains arbitrary, underpowered, or worse than current ladder.",EXPERIMENT_ONLY,Use cooling taxonomy EDA to decide mechanism-specific and month-aware cooling rules.
BEXP-QUAR-FOEHN-FIXED-001,baseline,FOEHN,RULE_FOEHN_SCORE_FIXED_60,solarstorm/robustness/_regime_diagnostics.py; reports/onda2e/thesis_atlas_v1.md,fixed_threshold,baseline_ladder,threshold_calibration,strong_nw_foehn trigger and foehn feature candidates,month; CP; candidate regime; physical mechanism as supported by EDA,audit_only,Quarantined comparator; use only as baseline/audit surface until ADR-012 advances it.,"Foehn threshold has not been calibrated by month, wind sector, dewpoint behavior, and Tmax anomaly.",RULE_FOEHN_SCORE_FIXED_60,mae_delta,Experiment must beat or clarify the quarantined comparator without leakage.,"Comparator remains arbitrary, underpowered, or worse than current ladder.",EXPERIMENT_ONLY,Run foehn-domain EDA and decide calibrated thresholds or continuous alternatives.
BEXP-QUAR-ONDA2R-REGIME-FAMILY-001,baseline,REGIME,RULE_ONDA2R_PHYSICAL_REGIME_FAMILY,docs/decisions/011-regime-ontology-repair.md; docs/regime_model_card.md,quarantined_baseline,baseline_ladder,baseline_variant,candidate regime design queue,month; CP; candidate regime; physical mechanism as supported by EDA,audit_only,Quarantined comparator; use only as baseline/audit surface until ADR-012 advances it.,"The family is repaired relative to late_warming, but not proven as the final climatology ontology.",RULE_ONDA2R_PHYSICAL_REGIME_FAMILY,mae_delta,Experiment must beat or clarify the quarantined comparator without leakage.,"Comparator remains arbitrary, underpowered, or worse than current ladder.",EXPERIMENT_ONLY,"Resolve regime, wind, cooling, timing, rain, pressure, and foehn thesis decisions first."
BEXP-QUAR-REGIME-CLASSIFIER-001,baseline,REGIME,REGIME_CLASSIFIER_CURRENT,solarstorm/eda/_regimes.py; docs/decisions/006-regime-classifier.md; docs/decisions/011-regime-ontology-repair.md,quarantined_baseline,baseline_ladder,baseline_variant,regime_label and regime-stratified validation,month; CP; candidate regime; physical mechanism as supported by EDA,audit_only,Quarantined comparator; use only as baseline/audit surface until ADR-012 advances it.,Onda 4 still reports dead causal physical regimes and Onda 2E has not produced a replacement ontology decision.,REGIME_CLASSIFIER_CURRENT,mae_delta,Experiment must beat or clarify the quarantined comparator without leakage.,"Comparator remains arbitrary, underpowered, or worse than current ladder.",EXPERIMENT_ONLY,Run Onda 2E domain EDA and promote only supported/adapted rules into regime design.
BEXP-LATE-TMAX-Q90-001,baseline,TIMING,RULE_LATE_WARMING_FIXED_18,reports/onda2e/domain_timing_norms_by_month_regime.csv; reports/onda2e/domain_timing_bucket_priors.csv,fixed_threshold,baseline_ladder,baseline_variant,month; candidate_regime_label; tmax_hour,month x candidate regime,outcome_only,Compute q90 timing norms on train folds only and use as diagnostic comparator.,Report cells with too few Tmax-hour observations before interpreting q90.,RULE_LATE_WARMING_FIXED_18,late_tmax_risk_delta,Train-only q90 rule explains late-Tmax risk better than fixed 18:00 diagnostic.,Q90 rule is unstable by year or leaks validation timing distribution.,EXPERIMENT_ONLY,Replace fixed late-hour diagnostic with train-only month/regime q90 experiment.
BEXP-QUAR-LATE-TMAX-001,baseline,TIMING,RULE_LATE_WARMING_FIXED_18,docs/decisions/011-regime-ontology-repair.md; solarstorm/robustness/_tmax_hour.py,fixed_threshold,baseline_ladder,threshold_calibration,"late Tmax, late-spike, and timing-risk diagnostics",month; CP; candidate regime; physical mechanism as supported by EDA,audit_only,Quarantined comparator; use only as baseline/audit surface until ADR-012 advances it.,Late Tmax must be month/regime-relative; fixed 18:00 ignores seasonal and physical timing norms.,RULE_LATE_WARMING_FIXED_18,mae_delta,Experiment must beat or clarify the quarantined comparator without leakage.,"Comparator remains arbitrary, underpowered, or worse than current ladder.",EXPERIMENT_ONLY,Compute train-only month/regime Tmax-hour distributions and decide retain/adapt/reject.
FEXP-FOEHN-CONTINUOUS-001,feature,FOEHN,WCT-FOEHN-001,reports/onda2e/domain_foehn_score_bins_by_month_cp.csv,fixed_threshold,feature_builder,feature_probe,foehn_score; wind sector; dewpoint_depression; month; CP,month x CP x foehn_score bin,causal_available,Use pre-CP score only; outcome effects can evaluate but not assign live regimes.,55/272 FOEHN score-bin cells may be underpowered in current EDA.,RULE_FOEHN_SCORE_FIXED_60,mae_delta,Continuous or binned score improves validation versus fixed >60 comparator.,Effect disappears in walk-forward years or score bins are too sparse.,EXPERIMENT_ONLY,Test continuous and binned foehn_score variants before any threshold promotion.
REXP-COOLING-RDQ-006,regime,COOLING,WCT-COOL-003,reports/onda2e/cooling_effects_by_month_regime_cp.csv,regime_design_review,regime_assignment,regime_revision,reports/onda2e/cooling_effects_by_month_regime_cp.csv,month x CP x candidate regime,causal_available,Experiment-only queue item; no production classifier or feature mutation.,Frontal/radiative/post-dawn cooling classes are separated enough to enter regime design review.,WCT-COOL-003,dead_regime_count,Advance only if candidate improves R2/dead-regime screen and passes Onda 4 review.,"Park if sparse, leaky, or no better than the existing comparator.",EXPERIMENT_ONLY,Design a replacement regime candidate that separates cooling mechanisms before Onda 4 rerun.
REXP-FOEHN-RDQ-007,regime,FOEHN,WCT-FOEHN-001,reports/onda2e/domain_foehn_score_bins_by_month_cp.csv,regime_design_review,regime_assignment,regime_revision,reports/onda2e/domain_foehn_score_bins_by_month_cp.csv,month x CP x candidate regime,causal_available,Experiment-only queue item; no production classifier or feature mutation.,FOEHN score bins now expose month/CP effect patterns and a fixed-threshold audit for regime-design review.,WCT-FOEHN-001,dead_regime_count,Advance only if candidate improves R2/dead-regime screen and passes Onda 4 review.,"Park if sparse, leaky, or no better than the existing comparator.",EXPERIMENT_ONLY,Design a regime-repair candidate using month/CP calibration or continuous FOEHN score; no feature candidate is promoted.
REXP-REPAIR-FRR-001,regime,FOEHN,RULE_FOEHN_SCORE_FIXED_60,reports/onda2e/domain_foehn_score_bins_by_month_cp.csv,regime_repair,regime_assignment,regime_revision,calibrate_by_month_cp_or_replace_with_binned_continuous_score,month x CP x candidate regime,causal_available,Repair candidate is experiment-only and must use pre-CP evidence.,Fixed foehn_score > 60 is retained only as an audit comparator. Max fixed-60 NW-sector-not-foehn share is 0.017. 55/272 score-bin cells have n < 30.,RULE_FOEHN_SCORE_FIXED_60,dead_regime_count,Repair improves R2/dead-regime validation without production mutation.,"Repair remains dead, sparse, or leaky.",EXPERIMENT_ONLY,Review month/CP bins and continuous-score calibration before changing any production regime classifier.
