thesis_id,domain,claim,key_strata,registry_complete,priority,atlas_status,testability,testability_reason,decision_status,evidence_level,source_artifact,domain_artifact_family,strata_reviewed,review_status,evidence_summary,power_summary,leakage_risk,implementation_path,next_action
WCT-REGIME-001,REGIME,"Cooling rule (−2 C/h) captures radiative pre-dawn events, not only frontal disruption","month, CP hour",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"month, CP hour",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-002,REGIME,"southerly_disrupted frequency is highest in winter (Jun–Aug), not uniform",month,true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,month,SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-003,REGIME,calm_radiative is chronically underpowered because cooling rule steals clear-sky radiative nights,"month, cooling trigger hour",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"month, cooling trigger hour",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-004,REGIME,The NW sector 270–45° contains three meteorologically distinct sub-sectors,"month, sub-sector",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"month, sub-sector",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-005,REGIME,Daily regime transitions follow non-random Markov sequences by month,"month, D-1 regime",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"month, D-1 regime",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-006,REGIME,foehn_score threshold 60 is not calibrated by month,month,true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,month,SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-007,REGIME,standard_nw is underpowered because the cooling rule steals ≈8 570 rows from it,cooling trigger audit,true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,cooling trigger audit,SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-008,REGIME,Regime classification stability (no further change with extra obs) arrives earlier in summer than in winter,"month, CP lead",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"month, CP lead",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-009,REGIME,"Regime border cases (foehn_score near 60, nw_share near 0.4) have systematically weaker effect sizes","regime margin, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"regime margin, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-010,REGIME,Wind direction natural cluster boundaries in METAR may differ from the prescribed sector cutoffs,"month, direction distribution",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"month, direction distribution",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
