experiment_id,domain,source_decision_id,source_artifacts,candidate_surface,implementation_kind,eda_feature_disposition,runner_status,feature_queue_status,result_status,production_status,required_artifact,recommended_experiment,rationale
BEXP-COOLING-MECHANISM-001,COOLING,RULE_COOLING_FIXED_MINUS_2_C_PER_H,reports/onda2e/cooling_effects_by_month_regime_cp.csv; reports/onda2e/cooling_event_taxonomy_by_day_cp.csv,baseline_ladder,baseline_variant,baseline_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,foundation_experiment_results_v1.csv,Implement cooling-mechanism baseline adjustment as an experiment-only comparator.,"EDA evidence is valuable for experiment design, but this catalog row is baseline_only, not a direct feature promotion."
BEXP-L2-MONTH-REGIME-001,BASELINE,ADR-012-BASELINE-L2,reports/onda2e/domain_timing_norms_by_month_regime.csv; reports/regime-design/regime_candidate_assignments_v1.csv,baseline_ladder,new_baseline,baseline_only,not_feature_runner_scope,queue_empty,passed,EXPERIMENT_ONLY,foundation_experiment_results_v1.csv,Implement train-only month/regime climatology baseline and compare on leaderboard.,"EDA evidence is valuable for experiment design, but this catalog row is baseline_only, not a direct feature promotion."
BEXP-L4-MONTH-CP-REGIME-001,BASELINE,ADR-012-BASELINE-L4,reports/onda2e/regime_design_candidate_v1.csv; reports/regime-design/regime_candidate_assignments_v1.csv,baseline_ladder,baseline_variant,baseline_only,not_feature_runner_scope,queue_empty,passed,EXPERIMENT_ONLY,foundation_experiment_results_v1.csv,Add empirical conditional baseline variant for month/CP/candidate-regime strata.,"EDA evidence is valuable for experiment design, but this catalog row is baseline_only, not a direct feature promotion."
BEXP-LATE-TMAX-Q90-001,TIMING,RULE_LATE_WARMING_FIXED_18,reports/onda2e/domain_timing_norms_by_month_regime.csv; reports/onda2e/domain_timing_bucket_priors.csv,baseline_ladder,baseline_variant,baseline_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,foundation_experiment_results_v1.csv,Replace fixed late-hour diagnostic with train-only month/regime q90 experiment.,"EDA evidence is valuable for experiment design, but this catalog row is baseline_only, not a direct feature promotion."
BEXP-QUAR-COOLING-FIXED-001,COOLING,RULE_COOLING_FIXED_MINUS_2_C_PER_H,solarstorm/onda2e/_atlas.py; solarstorm/robustness/_regime_diagnostics.py; reports/regime/2026-06-06-cooling-rule-experiment.md,baseline_ladder,threshold_calibration,baseline_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,foundation_experiment_results_v1.csv,Use cooling taxonomy EDA to decide mechanism-specific and month-aware cooling rules.,"EDA evidence is valuable for experiment design, but this catalog row is baseline_only, not a direct feature promotion."
BEXP-QUAR-FOEHN-FIXED-001,FOEHN,RULE_FOEHN_SCORE_FIXED_60,solarstorm/robustness/_regime_diagnostics.py; reports/onda2e/thesis_atlas_v1.md,baseline_ladder,threshold_calibration,baseline_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,foundation_experiment_results_v1.csv,Run foehn-domain EDA and decide calibrated thresholds or continuous alternatives.,"EDA evidence is valuable for experiment design, but this catalog row is baseline_only, not a direct feature promotion."
BEXP-QUAR-LATE-TMAX-001,TIMING,RULE_LATE_WARMING_FIXED_18,docs/decisions/011-regime-ontology-repair.md; solarstorm/robustness/_tmax_hour.py,baseline_ladder,threshold_calibration,baseline_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,foundation_experiment_results_v1.csv,Compute train-only month/regime Tmax-hour distributions and decide retain/adapt/reject.,"EDA evidence is valuable for experiment design, but this catalog row is baseline_only, not a direct feature promotion."
BEXP-QUAR-ONDA2R-REGIME-FAMILY-001,REGIME,RULE_ONDA2R_PHYSICAL_REGIME_FAMILY,docs/decisions/011-regime-ontology-repair.md; docs/regime_model_card.md,baseline_ladder,baseline_variant,baseline_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,foundation_experiment_results_v1.csv,"Resolve regime, wind, cooling, timing, rain, pressure, and foehn thesis decisions first.","EDA evidence is valuable for experiment design, but this catalog row is baseline_only, not a direct feature promotion."
BEXP-QUAR-REGIME-CLASSIFIER-001,REGIME,REGIME_CLASSIFIER_CURRENT,solarstorm/eda/_regimes.py; docs/decisions/006-regime-classifier.md; docs/decisions/011-regime-ontology-repair.md,baseline_ladder,baseline_variant,baseline_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,foundation_experiment_results_v1.csv,Run Onda 2E domain EDA and promote only supported/adapted rules into regime design.,"EDA evidence is valuable for experiment design, but this catalog row is baseline_only, not a direct feature promotion."
FEXP-FOEHN-CONTINUOUS-001,FOEHN,WCT-FOEHN-001,reports/onda2e/domain_foehn_score_bins_by_month_cp.csv,feature_builder,feature_probe,feature_ready_experiment,runner_available,queue_empty,failed,EXPERIMENT_ONLY,feature_probe_result + validated_feature_contract.json after gates,Test continuous and binned foehn_score variants before any threshold promotion.,"Catalog authorizes an experiment-only feature probe, but queue_empty; result_status=failed; power_warning=55/272 FOEHN score-bin cells may be underpowered in current EDA."
